"Subject" "Activity_Name" "Time_BodyAccelerometre.mean...X" "Time_BodyAccelerometre.mean...Y" "Time_BodyAccelerometre.mean...Z" "Time_BodyAccelerometre.std...X" "Time_BodyAccelerometre.std...Y" "Time_BodyAccelerometre.std...Z" "Time_GravityAccelerometre.mean...X" "Time_GravityAccelerometre.mean...Y" "Time_GravityAccelerometre.mean...Z" "Time_GravityAccelerometre.std...X" "Time_GravityAccelerometre.std...Y" "Time_GravityAccelerometre.std...Z" "Time_BodyAccelerometreJerk.mean...X" "Time_BodyAccelerometreJerk.mean...Y" "Time_BodyAccelerometreJerk.mean...Z" "Time_BodyAccelerometreJerk.std...X" "Time_BodyAccelerometreJerk.std...Y" "Time_BodyAccelerometreJerk.std...Z" "Time_BodyGyroscope.mean...X" "Time_BodyGyroscope.mean...Y" "Time_BodyGyroscope.mean...Z" "Time_BodyGyroscope.std...X" "Time_BodyGyroscope.std...Y" "Time_BodyGyroscope.std...Z" "Time_BodyGyroscopeJerk.mean...X" "Time_BodyGyroscopeJerk.mean...Y" "Time_BodyGyroscopeJerk.mean...Z" "Time_BodyGyroscopeJerk.std...X" "Time_BodyGyroscopeJerk.std...Y" "Time_BodyGyroscopeJerk.std...Z" "Time_BodyAccelerometreMagnitude.mean.." "Time_BodyAccelerometreMagnitude.std.." "Time_GravityAccelerometreMagnitude.mean.."
10 "STANDING" 0.282363179583333 -0.0140398520020833 -0.104340214822917 -0.9854918546875 -0.936597726979167 -0.945568020208333 0.930084857395833 -0.183443679770833 -0.0722396231145833 -0.984245516354167 -0.9688878915625 -0.9549598659375 0.0740492220958333 0.0065990338575 -0.00841904702229167 -0.985265893020833 -0.9719063628125 -0.982379596979167 -0.02754349186875 -0.0803652652916667 0.081383720875 -0.944408085729167 -0.968501200729167 -0.958173836041667 -0.10042703626875 -0.0415985097802083 -0.0507512488905208 -0.974479969375 -0.986518955208333 -0.984141097916667 -0.956246806770833 -0.94764929125 -0.956246806770833
11 "WALKING_UPSTAIRS" 0.263717830188608 -0.0279011695932722 -0.120544756609494 -0.226716570625949 -0.0136598627738924 -0.214091993491139 0.879072088449367 -0.278680813759494 -0.139217683170797 -0.944682352246835 -0.9207447 -0.902410086455696 0.0649372089904114 0.0154660078881329 -0.00424833203243671 -0.350389964598101 -0.297003718031329 -0.62104757839557 -0.00811933379335443 -0.0837362426356329 0.0636242950627532 -0.445258545838608 -0.420533446933544 -0.213472340937405 -0.107093505169399 -0.0404364550117089 -0.0577925065035443 -0.517391933854747 -0.678640806708861 -0.551957503193481 -0.0983695172312025 -0.256780093500949 -0.0983695172312025
12 "LAYING" 0.271510293753125 -0.018810783798125 -0.110523772034375 -0.9710466573125 -0.96656311034375 -0.966794521859375 -0.4090487017625 0.66000735621875 0.584721768125 -0.96101933590625 -0.98309259615625 -0.97101556650625 0.0790921425778125 0.0125276085177812 -0.000639328335473438 -0.98520427871875 -0.9790955095625 -0.98413214096875 -0.0229624658160625 -0.0889783414066875 0.111824862984375 -0.9754979055625 -0.97183603496875 -0.97438835196875 -0.1013132800125 -0.0385777346872187 -0.061161847553125 -0.97975380271875 -0.98635303584375 -0.988880858375 -0.96692536359375 -0.956982639815625 -0.96692536359375
13 "LAYING" 0.276363212889297 -0.00609844393284404 -0.112597962529052 -0.95529665617737 -0.922264451929664 -0.928065012211009 -0.394885000801223 0.527482561336391 0.494326585798165 -0.929608118593272 -0.934423839266055 -0.920682717825688 0.0848887675590214 0.0126748424404281 -0.0106339730459052 -0.98006499706422 -0.970004650428135 -0.978690514984709 -0.0137985037806728 -0.0912266560623853 0.130093539223242 -0.962436040214067 -0.961608541987768 -0.957379624495413 -0.10449965855841 -0.0375742220196911 -0.0632174605932722 -0.973621264464832 -0.980581438899083 -0.98286703 -0.904193956504587 -0.905553559238532 -0.904193956504587
14 "WALKING_UPSTAIRS" 0.260125633857585 -0.0237043146785718 -0.122373548133746 -0.234278385900619 -0.0445789490295975 -0.229773116608111 0.887074519597523 -0.28258558769969 -0.109800616014467 -0.951304629226006 -0.929169438049536 -0.905482997430341 0.090652634606161 0.0118880299201858 -0.0099107710549226 -0.356606910176471 -0.353896914132198 -0.663607109318885 -0.0507211798637771 -0.0657493839481115 0.0859673965090093 -0.462391686678638 -0.364091810278328 -0.274211091243034 -0.105621153578638 -0.0429645753433437 -0.0598474850504644 -0.573108337567802 -0.69379484873065 -0.570839717056966 -0.116373459690526 -0.268835611148037 -0.116373459690526
15 "WALKING_UPSTAIRS" 0.261687717006098 -0.0247396330928963 -0.122976669835671 -0.283638719132317 -0.0423051855597561 -0.129241835492988 0.861757458109756 -0.250332181371951 -0.137840349352348 -0.947462858871951 -0.927666200884146 -0.891849669695122 0.0752088959414634 -0.00154391756426829 -0.00673115231411585 -0.403085810219512 -0.376917917374695 -0.634302703231707 0.0315438754508232 -0.0869571758615854 0.0493620546204573 -0.48015623317378 -0.289685618642073 -0.25481223088872 -0.113424199932835 -0.0410100178993598 -0.0551375845843598 -0.59056264097561 -0.67091748777439 -0.591723305862805 -0.125396292821921 -0.274863379725915 -0.125396292821921
16 "WALKING_UPSTAIRS" 0.265526487199454 -0.0253620951489891 -0.117372389721858 -0.214299746092486 -0.0119662288969945 -0.137534492928962 0.874523943797814 -0.287418298603825 -0.153378685746175 -0.95201303204918 -0.926010867240437 -0.908057054234973 0.088782605637541 0.0033327905434153 -0.0146691313762568 -0.3439214132 -0.367883652107623 -0.617868057576503 0.0124347509172131 -0.0940085016764426 0.0690062514103552 -0.48417312706694 -0.289350372483306 -0.213035820010656 -0.11801403792735 -0.0346463392648634 -0.0368136373142623 -0.552974660308743 -0.636541761229508 -0.542425025697268 -0.0814713751308743 -0.194738624983333 -0.0814713751308743
17 "WALKING_DOWNSTAIRS" 0.296042614056047 -0.0172784951289911 -0.108783985551263 0.155646762326463 0.115503357783658 -0.128417284560472 0.915750073067847 -0.181792326132271 -0.0742050912715929 -0.944029233952802 -0.935679219882006 -0.905756785250737 0.0723617994560472 0.00845005757492625 0.0032658891420059 0.0530024493240413 -0.0434651576374631 -0.341509387704926 -0.104711461824484 -0.0457296739938053 0.100679500398702 -0.274459266575221 -0.277774431011504 -0.224144060625546 -0.0675335582775221 -0.0515691950849558 -0.0435376385639233 -0.33828997420059 -0.406778740888378 -0.280238034103156 0.163776573340442 0.163188953776932 0.163776573340442
17 "WALKING_UPSTAIRS" 0.264643628275862 -0.0284602437968966 -0.115455180896552 -0.29935980137931 0.0476394405517241 -0.262168957241379 0.892557079655172 -0.309452163448276 -0.152704725915862 -0.969556234137931 -0.939363 -0.922419857586207 0.0609414587827586 0.0310687471448276 -0.0312939252586207 -0.448798464137931 -0.359099794517241 -0.568523125517241 0.0488010064482759 -0.100539148289655 0.0186181423793103 -0.557302812068965 -0.489852973448276 -0.236081332068966 -0.126711196103448 -0.048692048762069 -0.0779815280344828 -0.619055996206897 -0.66535919862069 -0.555833146206897 -0.151692671117241 -0.266648709310345 -0.151692671117241
18 "LAYING" 0.261080388755769 -0.020081120003956 -0.0987160493546703 -0.950882097675824 -0.932239865167582 -0.928823656072527 -0.362506963142857 0.553314268881868 0.587262905398901 -0.930839736373626 -0.960961396175824 -0.93651524103022 0.0814063681164835 0.00934514112208791 -0.00138422303173077 -0.976872716703297 -0.967266041346154 -0.974987466538462 -0.0181667391135286 -0.10711088233956 0.123989764239011 -0.95655228503022 -0.953925571401099 -0.959372230906593 -0.100870758185714 -0.0369696392854396 -0.0629517873258242 -0.970240252912088 -0.975899094285714 -0.983585704725275 -0.927308188964286 -0.911415992857143 -0.927308188964286
19 "WALKING_DOWNSTAIRS" 0.283571690866667 -0.0163014697305861 -0.100136717204167 0.0896261702063889 0.03120398567875 -0.208319248703889 0.929427121194444 -0.160678180437778 -0.0274903920174722 -0.948803854694444 -0.931957813027778 -0.908405586555556 0.0805061333343611 0.00877809953188889 -0.0129579960366667 -0.0626780325285833 -0.0885729929666667 -0.405622721636667 -0.0775385000115417 -0.0549603808680278 0.0960691107464167 -0.337031627059444 -0.350506424136944 -0.278000446910556 -0.06972785735975 -0.0572481715955556 -0.0575237100472778 -0.393258781094167 -0.495183874553722 -0.322629859420833 0.0862466464533056 0.0937482049716667 0.0862466464533056
20 "LAYING" 0.263319953649717 -0.0301321764315819 -0.103353049477401 -0.958546024067797 -0.935497688700565 -0.947809330531073 -0.362693060615819 0.610381051488701 0.590350863675141 -0.938738477644068 -0.952658899870056 -0.955006433353107 0.0830211893039548 0.0148605615479944 -0.0109465061859774 -0.980244042570621 -0.97075836079096 -0.979445222146893 -0.0144316801589096 -0.0871530243946328 0.133511444514407 -0.969118486525424 -0.962524783050847 -0.960654637259887 -0.100214401903955 -0.03962481105 -0.0665449244036723 -0.978126594548023 -0.979154649915254 -0.986260825028249 -0.936117390220339 -0.929051103209039 -0.936117390220339
21 "WALKING_DOWNSTAIRS" 0.286488597602941 -0.015249328858962 -0.110455529153431 0.0716982706740196 0.0536123646069608 -0.211250763050074 0.929980833578431 -0.172936965531373 -0.040960986181348 -0.953009619681373 -0.936777757328431 -0.921048833406863 0.099063231046973 0.000548181484901961 -0.00587466541715686 -0.0611669654032108 -0.0713309042428946 -0.395891114828431 -0.0962860347633088 -0.0402819558117868 0.0949474868126226 -0.351128852556373 -0.349232842979412 -0.287567671473039 -0.0758067312541912 -0.0417475495918382 -0.0648496637404412 -0.391487129317402 -0.467057019262255 -0.342755876492892 0.0716770172544363 0.110665114724779 0.0716770172544363
22 "SITTING" 0.251033707977273 0.0103250002727273 -0.0956676115909091 -0.972576393636364 -0.900038378636364 -0.923053488181818 0.890554993636364 0.1180255013 0.158943524136364 -0.956848886818182 -0.917065048636364 -0.923303419090909 0.0799202691818182 -0.00438653170909091 -0.00111823097272727 -0.980960038181818 -0.968217873181818 -0.981702255454545 -0.0508470873772727 -0.0487313942681818 0.0798221330454545 -0.977031470454545 -0.955776997727273 -0.940273399545455 -0.0903023324090909 -0.0471357248409091 -0.0422695673409091 -0.986521449090909 -0.984685665909091 -0.980941252272727 -0.922567117727273 -0.901318605 -0.922567117727273
22 "WALKING_DOWNSTAIRS" 0.286920868 -0.0166786023948462 -0.102702339007358 0.0916217162294314 0.0383359393790301 -0.212549956989465 0.930213688394649 -0.1568265174301 -0.0524512931024846 -0.952921887725752 -0.932015763210702 -0.91322426173913 0.105424991112375 -0.017386000549398 -0.0211298045866221 -0.0604903620658863 -0.0931847508260535 -0.411856376482207 -0.0516950513822742 -0.0762034517478261 0.0858319016772575 -0.373624484873244 -0.383568131304348 -0.301599086971237 -0.0786173460148495 -0.056698514194214 -0.0500880687990635 -0.408299692986622 -0.496299484217391 -0.361221688513043 0.0887752637654849 0.0988683533488294 0.0887752637654849
23 "SITTING" 0.269834390905914 -0.0137323399137903 -0.101249052603495 -0.981045982016129 -0.92629624730914 -0.926004224365591 0.884703540564516 0.0989612470418011 0.143183881676505 -0.978609290564516 -0.956478619758064 -0.944423471212366 0.0758191130147849 0.00596528439766183 -0.00555299232430108 -0.982727278575269 -0.971287553709677 -0.980032669865591 -0.0336649699425269 -0.0818291791847581 0.0905167248219355 -0.978755240672043 -0.961868594489247 -0.954434970456989 -0.0975681472043011 -0.0392309223382796 -0.0552972094250806 -0.98254338983871 -0.984558759408602 -0.981499251747312 -0.948117605806452 -0.930523077983871 -0.948117605806452
24 "LAYING" 0.270087023897638 -0.0162871118806299 -0.109826555439895 -0.969522769107612 -0.9564469132021 -0.965889559475066 -0.366487482879265 0.719688310131234 0.496171619254593 -0.956222647349081 -0.977249792693176 -0.972736297821522 0.0812699370073491 0.00642473073882677 -0.00237116039506037 -0.981299908818898 -0.972181146036745 -0.9821930667979 -0.0175339945118845 -0.0857610189501312 0.121863514748031 -0.97538853152231 -0.968943031574803 -0.968208652624672 -0.102362168952756 -0.039217591496273 -0.0629946852440945 -0.981653623674541 -0.982332144330709 -0.984893803963255 -0.963721156614173 -0.9537289497979 -0.963721156614173
25 "SITTING" 0.27623283405868 -0.0148499589189731 -0.108762869022005 -0.985847132127139 -0.942306623186626 -0.946728139875306 0.886821081295843 0.0949050633015844 0.180372040897531 -0.98176936794621 -0.961449130872861 -0.949615670799511 0.0745651844323472 0.0113509854604621 0.00237149212055257 -0.987022666748166 -0.976250319315403 -0.98419911594132 -0.0407289163787286 -0.0721444088327628 0.0492065207408313 -0.982949339853301 -0.973336606772616 -0.959338184254279 -0.0942571204865526 -0.0404325188196577 -0.0447801707513447 -0.987531230953545 -0.988059700268949 -0.985744258557457 -0.960572523789731 -0.947150773137408 -0.960572523789731
26 "SITTING" 0.27607723092602 -0.0112616555124745 -0.10485294313699 -0.98371781630102 -0.932758452408163 -0.937844196173469 0.880208331479592 0.122406168935714 0.140917865046837 -0.979401481709184 -0.953629000737245 -0.944536498193878 0.0749982471370663 -0.000835177113528061 -0.00253503473012245 -0.985669592959184 -0.973852809285714 -0.981664043979592 -0.0378554798721173 -0.0660442514969388 0.0901353188168878 -0.98014563877551 -0.966754369234694 -0.958837524132653 -0.0952300890571429 -0.0419255934897704 -0.0517106461823469 -0.986265959540816 -0.986855743188776 -0.983883687066327 -0.954246848877551 -0.936072647920918 -0.954246848877551
27 "SITTING" 0.270435829784574 -0.0126125083513564 -0.106174394163032 -0.982247201542553 -0.935561099917553 -0.948179340797872 0.849711106941489 0.125009687224853 0.190718377070745 -0.977950694707447 -0.957973340178191 -0.953114664468085 0.0772145431571808 0.00517219705631383 -0.00341582768565691 -0.984425293005319 -0.974071672819149 -0.983154437234042 -0.0393536820454787 -0.069746559731117 0.0837833286181915 -0.981796098484043 -0.966701668457447 -0.958860565239362 -0.0959990169308511 -0.0412328646117553 -0.0525608556768032 -0.985631322553192 -0.986606217632979 -0.983528316489362 -0.957061817845745 -0.942529000494681 -0.957061817845745
28 "SITTING" 0.273982641640777 -0.0118329399425728 -0.107895341529126 -0.98584631684466 -0.94215541815534 -0.934113370398058 0.90940553131068 0.0969455569495146 0.0765694959014563 -0.983609117864078 -0.963814287669903 -0.94560063776699 0.0774010561941748 0.00284397522359223 -0.00495309259044563 -0.985270589417476 -0.974189234126214 -0.982307973203884 -0.0405630385092524 -0.0729369786262136 0.0767992069417476 -0.981971493106796 -0.963378246990291 -0.960574264708738 -0.0957029243252427 -0.0405800533765728 -0.0502113399760194 -0.986769378980582 -0.986251971990291 -0.984784054466019 -0.954426465776699 -0.944074951456311 -0.954426465776699
28 "STANDING" 0.278608112159091 -0.0165426011677841 -0.109306314694943 -0.989383577443182 -0.954828574431818 -0.957073031306818 0.947069501306818 -0.171469565894318 -0.0636326260522727 -0.988971051818182 -0.971378374943182 -0.961599175625 0.0746115379074432 0.00747478501633523 -0.00348989141283523 -0.987414696079545 -0.980277404545455 -0.985131831193182 -0.02545287816375 -0.0637247553165909 0.0804075787102273 -0.971742314375 -0.973475320568182 -0.975426552840909 -0.0987920007840909 -0.0431403787017045 -0.0526559001857386 -0.978819499261364 -0.985174748465909 -0.988066084034091 -0.967782783465909 -0.963957683693182 -0.967782783465909
29 "STANDING" 0.280751985552326 -0.015485778726186 -0.103480217130814 -0.982047413575581 -0.929222021511628 -0.932885341017442 0.945289895552326 -0.185183222150669 -0.00184255637133721 -0.987315724389535 -0.966207578895349 -0.947495302936047 0.0749012814075581 0.00808270479084302 -0.00485470196589826 -0.97756440119186 -0.963152529098837 -0.97764363244186 -0.0283535533122674 -0.065364939849593 0.0787752317377907 -0.950578332761628 -0.958101822965116 -0.951085689680233 -0.0983927667828488 -0.0424159040630814 -0.0509828169552326 -0.968210768924419 -0.97910650505814 -0.972993617063953 -0.948896221831395 -0.942333646627907 -0.948896221831395
30 "STANDING" 0.278876372167102 -0.0156344830539426 -0.109261288078909 -0.981611618224543 -0.922744292819843 -0.93077160997389 0.942461613603133 -0.163941923743238 -0.019642998432376 -0.986706355691906 -0.965879656997389 -0.946986333707572 0.0743916708404439 0.00953964725003655 -0.00277485823155614 -0.975798444177546 -0.958937744569191 -0.977223648955614 -0.0236821214979896 -0.0654811293512533 0.0810885692088773 -0.937509656501305 -0.956206389060052 -0.951078543707572 -0.0996186501167102 -0.0422691795543081 -0.0518528633436031 -0.961269774569191 -0.976685026736292 -0.974287041879896 -0.948216544203655 -0.936997655357702 -0.948216544203655
